lat,long,site,Province,plate_n,plate_low,plate_partial,plate_complete,Morph,other,habitat,citation_num,citation,,,,notes,
45.385,-67.307,Little Goat,NB,120,0,0.06,0.94,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.544,-65.652,Saltsprings,NB,112,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
,,Flagor,NB,55,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,unknown location,
46.375,-64.768,St. Antoine,NB,186,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
45.571,-66.693,Black,NB,54,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.359,-63.482,Dunk,PEI,136,0,0.02,0.98,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,
46.344,-63.484,South Dunk,PEI,527,0,0.03,0.97,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.6,-64.049,Enmore,PEI,218,0,0.06,0.94,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.403,-63.615,Wilmont 1,PEI,65,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,"""Wilmot"""
46.396,-63.699,Wilmont 2,PEI,106,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,"""Wilmot"""
46.469,-62.331,Crook,PEI,170,0,0.07,0.93,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,"""Crooked River"""
46.332,-63.093,Winter 1,PEI,131,0,0.01,0.99,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.353,-63.07,Winter 2,PEI,275,0,0.03,0.97,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.392,-63.166,Black R. (PEI),PEI,117,0,0.15,0.85,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.119,-62.702,Valleyfield 1,PEI,86,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.156,-62.653,Valleyfield 2,PEI,98,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.237,-62.639,Cardigan,PEI,119,0,0.01,0.99,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.2,-62.648,Brudnell,PEI,128,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.363,-62.704,Morell,PEI,95,0,0,1,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.318,-62.835,Pesquid,PEI,177,0,0.15,0.85,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,"""Pisquid"""
46.358,-62.445,Fortune,PEI,96,0,0.16,0.84,C,C,river,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.844,-64.083,Huntley,PEI,86,0,0.02,0.98,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.278,-62.399,Little Pond,PEI,144,0,0.01,0.99,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.286,-62.967,Glenfinnan,PEI,123,0,0.1,0.9,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.466,-63.841,Clark,PEI,116,0,0.72,0.28,P,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.23,-62.537,Woodville Mills,PEI,102,0,0.08,0.92,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.08,-62.878,Belfast,PEI,84,0,0.04,0.96,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
46.193,-62.902,Cherry Valley,PEI,246,0,0,1,C,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
44.95,-73.262,Lake Champlain,VT,132,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
44.162,-77.214,Bay of Quinte,ON,86,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
43.929,-76.584,Yorkshire Island,ON,138,0,0,1,C,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,,
58.779,-66.047,Bob's (pool),QC(Arctic),40,0.35,0.325,0.325,L,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042.,,,,uncertain location,
56.247,-76.23,"Richmond Gulf, unnamed large island",QC(Arctic),148,0,0.986,0.014,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,uncertain location,
56.217,-76.333,Richmond Gulf 1,QC(Arctic),35,0,0.886,0.114,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,,
56.196,-76.018,Richmond Gulf 2,QC(Arctic),74,0,0.878,0.122,P,C,lake,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,,
51.308,-80.563,Moose R. tributaries,ON(Arctic),44,0.023,0.977,0,P,C,stream,1,Hagen & Moodie (1982). Can J. Zool. 60:1032-1042. [CMN specimens],,,,two lakes pooled together for plate morphs,
47.739,-68.83,Rond,QC,82,0,0.9,0.1,RP+C,C,lake,3,Edge & Coad (1983). Can. Field-Nat. 97:334-336,,,,,
